iter	Accuracy	Logloss
147	1	0.02296211081
148	1	0.02273095002
149	1	0.02258272513
150	1	0.0223586542
151	1	0.0222150594
152	1	0.02207330054
153	1	0.02193334229
154	1	0.02172110385
155	1	0.02158540856
156	1	0.0214514016
157	1	0.02131905133
158	1	0.02118832692
159	1	0.02105919833
160	1	0.02093163624
161	1	0.02080561205
162	1	0.02068109787
163	1	0.02055806647
164	1	0.0204364913
165	1	0.02031634643
166	1	0.02019760656
167	1	0.02008024697
168	1	0.01996424355
169	1	0.01984957271
170	1	0.01973621147
171	1	0.01962413732
172	1	0.0195133283
173	1	0.01940376295
174	1	0.01929542029
175	1	0.01918827982
176	1	0.01908232149
177	1	0.01897752571
178	1	0.0188738733
179	1	0.01877134554
180	1	0.01866992409
181	1	0.01856959102
182	1	0.0184703288
183	1	0.01837212025
184	1	0.01827494858
185	1	0.01817879736
186	1	0.0180836505
187	1	0.01798949224
188	1	0.01789630717
189	1	0.01780408019
190	1	0.01771279651
191	1	0.01762244166
192	1	0.01753300145
193	1	0.01744446199
194	1	0.01735680966
195	1	0.01727003114
196	1	0.01718411334
197	1	0.01709904348
198	1	0.01701480898
199	1	0.01693139756
200	1	0.01684879714
201	1	0.0167669959
202	1	0.01668598225
203	1	0.01660574481
204	1	0.01652627243
205	1	0.01644755419
206	1	0.01636957934
207	1	0.01629233736
208	1	0.01621581793
209	1	0.01614001092
210	1	0.01606490638
211	1	0.01599049456
212	1	0.01591676589
213	1	0.01584371096
214	1	0.01577132055
215	1	0.01569958561
216	1	0.01562849723
217	1	0.0155580467
218	1	0.01548822543
219	1	0.015419025
220	1	0.01535043715
221	1	0.01528245376
222	1	0.01521506684
223	1	0.01514826855
224	1	0.01508205121
225	1	0.01501640723
226	1	0.01495132919
227	1	0.01488680978
228	1	0.01482284182
229	1	0.01475941825
230	1	0.01469653214
231	1	0.01463417666
232	1	0.01457234512
233	1	0.01451103093
234	1	0.0144502276
235	1	0.01438992876
236	1	0.01433012816
237	1	0.01427081962
238	1	0.01421199709
239	1	0.01415365461
240	1	0.01409578631
241	1	0.01403838643
242	1	0.0139814493
243	1	0.01392496933
244	1	0.01386894102
245	1	0.01381335899
246	1	0.0137582179
247	1	0.01370351253
248	1	0.01364923772
249	1	0.01359538841
250	1	0.0135419596
251	1	0.01348894639
252	1	0.01343634394
253	1	0.01338414748
254	1	0.01333235233
255	1	0.01328095389
256	1	0.01322994759
257	1	0.01317932897
258	1	0.01312909363
259	1	0.01307923722
260	1	0.01302975546
261	1	0.01298064416
262	1	0.01293189916
263	1	0.01288351637
264	1	0.01283549178
265	1	0.01278782141
266	1	0.01274050137
267	1	0.0126935278
268	1	0.01264689691
269	1	0.01260060497
270	1	0.01255464828
271	1	0.01250902323
272	1	0.01246372623
273	1	0.01241875376
274	1	0.01237410235
275	1	0.01232976856
276	1	0.01228574903
277	1	0.01224204041
278	1	0.01219863944
279	1	0.01215554287
280	1	0.01211274752
281	1	0.01207025023
282	1	0.01202804791
283	1	0.01198613749
284	1	0.01194451597
285	1	0.01190318035
286	1	0.01186212772
287	1	0.01182135517
288	1	0.01178085985
289	1	0.01174063895
290	1	0.01170068968
291	1	0.0116610093
292	1	0.01162159511
293	1	0.01158244445
294	1	0.01154355468
295	1	0.0115049232
296	1	0.01146654745
297	1	0.0114284249
298	1	0.01139055307
299	1	0.01135292947
